category,type,mean_adj_r2,ci_lower,ci_upper
whole protein,abundance,0.35882456571456406,0.2875163575712631,0.4255225876126671
whole protein,activity,0.12719121482889234,0.042349957055726715,0.2097027330661358
whole protein,both,0.5348721035435322,0.4859411764713762,0.5825645606305755
non-orthosteric,abundance,0.640115781565407,0.5961254219330617,0.6816276165366613
non-orthosteric,activity,0.0449003677489554,-0.059020739346962496,0.144905150471696
non-orthosteric,both,0.6669047355358095,0.6269748199554674,0.7045777846331104
orthosteric,abundance,0.1776865171597377,0.03292681459005251,0.3055052522506674
orthosteric,activity,0.16988746146121528,-0.007025132368601184,0.3312254110621545
orthosteric,both,0.40626638639602847,0.27958080126715884,0.5141601190279635
